R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;F1;14240300000;14691229809
1;F2;2900000;2842574.3858
1;F3;0;0
1;F4;1835100000;1955612607.9
1;F5;365300000;351630389.55
1;F6;13252400000;14028990023
1;F7;1568900000;1644061375.6
2;F1;929900000;945981529.74
2;F2;0;0
2;F3;1000000;985722.67914
2;F4;793000000;833304402.27
2;F5;174300000;165440377.45
2;F6;441900000;461278558.28
2;F7;447300000;462199059.25
3;F1;0;0
3;F2;0;0
3;F3;10000000;10173596.42
3;F4;0;0
3;F5;0;0
3;F6;34500000;37168763.867
3;F7;4100000;4372539.8121
4;F1;379400000;381557256.6
4;F2;0;0
4;F3;71000000;69187729.575
4;F4;58100000;60356299.238
4;F5;255900000;240121137.94
4;F6;177700000;183376076.22
4;F7;3900000;3983921.2747
5;F1;4973200000;5192086793.4
5;F2;0;0
5;F3;0;0
5;F4;0;0
5;F5;33900000;33022004.549
5;F6;603800000;646832725.66
5;F7;82400000;87380993.914
6;F1;52000000;55037370.955
6;F2;0;0
6;F3;0;0
6;F4;0;0
6;F5;-9000000;-9113610.359
6;F6;39700000;43115924.249
6;F7;8800000;9460645.2648
7;F1;0;0
7;F2;0;0
7;F3;0;0
7;F4;0;0
7;F5;-239800000;-269916742
7;F6;315900000;308648465.7
7;F7;100000;96717.572886
8;F1;0;0
8;F2;0;0
8;F3;97000000;100385655.03
8;F4;0;0
8;F5;26700000;26607284.947
8;F6;13900000;15233483.992
8;F7;6400000;6943130.1647
9;F1;0;0
9;F2;0;0
9;F3;0;0
9;F4;0;0
9;F5;125900000;120942353.8
9;F6;484200000;511531770.91
9;F7;461600000;482730256.8
10;F1;3300000;3534169.7032
10;F2;0;0
10;F3;0;0
10;F4;201000000;222358428.87
10;F5;41900000;41868287.585
10;F6;298600000;328137692.67
10;F7;382000000;415547402.94
11;F1;18379200000;19570303015
11;F2;0;0
11;F3;0;0
11;F4;0;0
11;F5;597500000;593617330.98
11;F6;4163000000;4548521104.9
11;F7;2146200000;2321265874.2
12;F1;9069300000;9389478734.1
12;F2;13200000;12984238.155
12;F3;0;0
12;F4;0;0
12;F5;68100000;65782828.405
12;F6;858600000;912118901.87
12;F7;244600000;257221885.38
13;F1;2623100000;2742564637.5
13;F2;0;0
13;F3;0;0
13;F4;0;0
13;F5;177500000;173156220.49
13;F6;2599400000;2788739807.5
13;F7;1783800000;1894401085.6
14;F1;1526500000;1631075825.1
14;F2;0;0
14;F3;0;0
14;F4;0;0
14;F5;90100000;89825542.581
14;F6;486700000;533619320.43
14;F7;196400000;213158460.79
15;F1;33080500000;34822986358
15;F2;2300000;2300364.2542
15;F3;0;0
15;F4;0;0
15;F5;373900000;367237590.01
15;F6;9158700000;9892832094.6
15;F7;3677800000;3932473510.6
16;F1;7840000000;8186614843.3
16;F2;0;0
16;F3;0;0
16;F4;0;0
16;F5;263600000;256821523.38
16;F6;2096800000;2246664177.9
16;F7;1563300000;1658113951.8
17;F1;4675600000;4876606512
17;F2;0;0
17;F3;0;0
17;F4;0;0
17;F5;113200000;110160147.08
17;F6;184400000;197348640.03
17;F7;78000000;82633988.774
18;F1;13307600000;13997535907
18;F2;0;0
18;F3;0;0
18;F4;0;0
18;F5;70600000;69287400.651
18;F6;183500000;198052704.55
18;F7;47000000;50214999.147
19;F1;2968300000;3184093493.7
19;F2;0;0
19;F3;1000000;1039408.7268
19;F4;20500000;22715168.355
19;F5;52600000;52645527.225
19;F6;2099300000;2310709670.6
19;F7;1540200000;1678181341.3
20;F1;22044100000;23063332268
20;F2;0;0
20;F3;0;0
20;F4;0;0
20;F5;270000000;263567078.97
20;F6;7922400000;8505097689.9
20;F7;4126600000;4385365614.8
21;F1;8585700000;9040483232.7
21;F2;0;0
21;F3;0;0
21;F4;4200000;4568244.1394
21;F5;106800000;104926431.83
21;F6;3214800000;3473463601.4
21;F7;1114600000;1192116569.1
22;F1;550600000;582886665.2
22;F2;6800000;6839614.9426
22;F3;0;0
22;F4;45600000;49865116.184
22;F5;4000000;3950987.1774
22;F6;1052100000;1142872520.2
22;F7;472800000;508404201.15
23;F1;10300000;10931795.222
23;F2;0;0
23;F3;0;0
23;F4;0;0
23;F5;45100000;44661007.999
23;F6;1749100000;1904854287.4
23;F7;971900000;1047754645.4
24;F1;4430500000;4669309529.3
24;F2;0;0
24;F3;21800000;22262029.639
24;F4;0;0
24;F5;57200000;56246262.346
24;F6;1045500000;1130620400.7
24;F7;341800000;365894373.87
25;F1;900000;926202.22331
25;F2;5800000;5671084.6528
25;F3;0;0
25;F4;0;0
25;F5;8800000;8449746.8483
25;F6;37700000;39810489.431
25;F7;28800000;30105063.481
26;F1;24222300000;26495952893
26;F2;0;0
26;F3;0;0
26;F4;0;0
26;F5;993800000;1014287031.4
26;F6;5500100000;6173445335.1
26;F7;6900900000;7667497592.1
27;F1;402100000;425240302.63
27;F2;0;0
27;F3;0;0
27;F4;0;0
27;F5;43700000;43120074.087
27;F6;9003800000;9770550682.7
27;F7;5628500000;6046120043.8
28;F1;10683900000;11292687486
28;F2;0;0
28;F3;0;0
28;F4;0;0
28;F5;133600000;131756384.61
28;F6;5341600000;5793375993.3
28;F7;3965500000;4257446500.4
29;F1;0;0
29;F2;0;0
29;F3;0;0
29;F4;0;0
29;F5;4200000;4182013.0138
29;F6;211400000;231492120.68
29;F7;92200000;99943152.555
30;F1;10580500000;11149412141
30;F2;0;0
30;F3;10881200000;11110431099
30;F4;0;0
30;F5;95100000;93502669.664
30;F6;7951500000;8597807122.7
30;F7;4798500000;5136118403.3
31;F1;2287500000;2413297051.4
31;F2;600000;601417.07859
31;F3;0;0
31;F4;0;0
31;F5;43200000;42523709.468
31;F6;2532600000;2741631864.3
31;F7;832600000;892215648.26
32;F1;900300000;948357763.44
32;F2;5200000;5204309.595
32;F3;0;0
32;F4;113100000;123064173.19
32;F5;104400000;102608459.69
32;F6;3431100000;3708610182.3
32;F7;1286100000;1376079235.9
33;F1;301800000;317397439.77
33;F2;0;0
33;F3;0;0
33;F4;6100000;6626712.0328
33;F5;41300000;40525833.093
33;F6;1069800000;1154461978.6
33;F7;319500000;341301970.88
34;F1;292900000;304247116.91
34;F2;0;0
34;F3;0;0
34;F4;4000000;4291915.5779
34;F5;-800000;-825439.3551
34;F6;1418100000;1511495344.1
34;F7;1874700000;1977983338.6
35;F1;5700000;5857097.164
35;F2;0;0
35;F3;0;0
35;F4;0;0
35;F5;-142900000;-149048270.1
35;F6;525300000;553869984.92
35;F7;586900000;612569588.78
36;F1;5100000;5295624.0279
36;F2;0;0
36;F3;0;0
36;F4;0;0
36;F5;-11100000;-11457194.74
36;F6;673200000;717272089.92
36;F7;451900000;476620874.42
37;F1;5700000;6109526.1306
37;F2;0;0
37;F3;0;0
37;F4;14900000;16496925.724
37;F5;-81000000;-80994332.75
37;F6;9445000000;10387893540
37;F7;4278500000;4658090876.7
38;F1;879600000;930879416.46
38;F2;41600000;41828892.317
38;F3;0;0
38;F4;6199400000;6777069591.1
38;F5;311500000;307584165.11
38;F6;5602900000;6084346443.1
38;F7;3216100000;3457176088.2
39;F1;1600000;1686316.6669
39;F2;0;0
39;F3;0;0
39;F4;355800000;387355006.19
39;F5;-46800000;-47591455.53
39;F6;349000000;377430883.47
39;F7;212300000;227275642.29
40;F1;1524900000;1602136935.8
40;F2;0;0
40;F3;0;0
40;F4;4237500000;4598879806.3
40;F5;91500000;89696826.611
40;F6;606400000;653747916.71
40;F7;254800000;271920181.76
41;F1;5849200000;6184832607.2
41;F2;0;0
41;F3;2000000;2049131.4261
41;F4;4457400000;4868522338
41;F5;-17600000;-17839532.67
41;F6;2836200000;3077238718.6
41;F7;1819300000;1953977452.4
42;F1;1770300000;1853200735.4
42;F2;0;0
42;F3;0;0
42;F4;3226800000;3489247069.8
42;F5;-274700000;-281245348.9
42;F6;5698700000;6121308199.7
42;F7;3883700000;4129571780.1
43;F1;4450400000;4693176980.8
43;F2;0;0
43;F3;0;0
43;F4;241400000;262959721.04
43;F5;19800000;19481876.734
43;F6;1175000000;1271448016
43;F7;291300000;312026959.64
44;F1;448100000;472881841.78
44;F2;0;0
44;F3;0;0
44;F4;14582100000;15895780085
44;F5;330200000;325126582.3
44;F6;7484100000;8104199670.7
44;F7;8307500000;8904956323.5
45;F1;20202800000;21071571824
45;F2;0;0
45;F3;0;0
45;F4;15778200000;16999138203
45;F5;211500000;205822787.65
45;F6;34588800000;37018065571
45;F7;7346900000;7783469837
46;F1;717100000;761550943.65
46;F2;0;0
46;F3;0;0
46;F4;320800000;351914918
46;F5;1204800000;1193800930
46;F6;7857900000;8562855054.4
46;F7;2705100000;2918006885.4
47;F1;61000000;63189634.346
47;F2;0;0
47;F3;0;0
47;F4;891600000;954047827.09
47;F5;83400000;80608302.175
47;F6;52500000;55804364.607
47;F7;557800000;586919132.6
48;F1;0;0
48;F2;0;0
