R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;T1;13021500000;14483024714
1;T2;855000000;886240194.3
2;T1;2785500000;3225921441.9
2;T2;57200000;61735323.038
3;T1;0;0
3;T2;0;0
4;T1;187000000;237759020.33
4;T2;26600000;31518395.766
5;T1;1343700000;1491782813.3
5;T2;65900000;68182947.042
6;T1;78100000;80343942.662
6;T2;35600000;34130226.912
7;T1;0;0
7;T2;15300000;17868219.279
8;T1;0;0
8;T2;5000000;4859378.5206
9;T1;287600000;304551463.64
9;T2;24500000;24178255.66
10;T1;366900000;363763760.74
10;T2;277300000;256217424.16
11;T1;5946900000;6390677857.5
11;T2;115300000;115470931.57
12;T1;1755400000;1900911663.4
12;T2;164100000;165608069.36
13;T1;1985700000;2156827934.3
13;T2;134400000;136046760.33
14;T1;3537400000;3825414500.2
14;T2;122300000;123255939.7
15;T1;17110000000;18428908222
15;T2;628400000;630772637.76
16;T1;3094500000;3322663626.3
16;T2;124900000;124981404.37
17;T1;1316300000;1412625828
17;T2;169000000;169023090.24
18;T1;1983900000;2086773593.6
18;T2;5000000;4901315.1842
19;T1;3437600000;3622169424.6
19;T2;21500000;21112465.425
20;T1;9011900000;9754533545.4
20;T2;73600000;74242917.312
21;T1;1029500000;1139313663.7
21;T2;11100000;11447931.063
22;T1;1377500000;1501978791.3
22;T2;195600000;198759600.42
23;T1;597200000;635457584.03
23;T2;121600000;120583369.4
24;T1;2677600000;2885085263.4
24;T2;67200000;67479102.55
25;T1;62500000;71257544.655
25;T2;200000;212504.38876
26;T1;7469400000;7630590362.4
26;T2;146100000;139094420.7
27;T1;9824100000;10574970596
27;T2;189700000;190300880.04
28;T1;7896000000;8531679415.6
28;T2;111300000;112075226.34
29;T1;272500000;289539923.73
29;T2;2600000;2574556.1547
30;T1;14636500000;15709853596
30;T2;66600000;66618707.375
31;T1;2041500000;2194568628.8
31;T2;113800000;114006369.61
32;T1;5056900000;5506256922.9
32;T2;98300000;99749952.113
33;T1;1856700000;1988834930.7
33;T2;28600000;28550262.562
34;T1;1671100000;1854946574
34;T2;144300000;149273380.91
35;T1;1508400000;1733331222.6
35;T2;183300000;196297411.65
36;T1;889100000;983690993.67
36;T2;66700000;68773478.425
37;T1;7074000000;7824554575.8
37;T2;347200000;357899718.59
38;T1;12929600000;13975194352
38;T2;153000000;154117256.55
39;T1;660400000;713718134.75
39;T2;85600000;86214537.69
40;T1;2315200000;2511165658.3
40;T2;23600000;23855357.234
41;T1;6847400000;7364916361.6
41;T2;367300000;368171460.97
42;T1;7929900000;8784724878.2
42;T2;172800000;178398526.93
43;T1;1900600000;2049472854.4
43;T2;99300000;99790170.757
44;T1;7434500000;8052334818.9
44;T2;58400000;58948122.566
45;T1;8292800000;9126540596.9
45;T2;77500000;79486572.941
46;T1;1238100000;1326977630.1
46;T2;236000000;235725710.21
47;T1;85000000;91892111.886
47;T2;900000;906752.76431
48;T1;467400000;504637197.28
48;T2;1200000;1207421.4015
49;T1;1969400000;2127637451.9
49;T2;10900000;10974310.978
50;T1;809700000;863568471.86
50;T2;5200000;5168482.5509
51;T1;3783700000;4062011205.6
51;T2;39100000;39119045.666
52;T1;7754100000;8254960801.7
52;T2;128200000;127191683.26
53;T1;0;0
53;T2;0;0
54;T1;0;0
54;T2;1200000;1231042.9342
55;T1;12200000;13691752.717
55;T2;200000;209178.13359
56;T1;0;0
56;T2;0;0
57;T1;412000000;443313294.75
57;T2;153000000;153423555.26
58;T1;0;0
58;T2;0;0
59;T1;0;0
59;T2;0;0
60;T1;0;0
60;T2;0;0
61;T1;0;0
61;T2;0;0
62;T1;-10858300000;-11386249917
62;T2;0;0
63;T1;0;0
63;T2;0;0
64;T1;-1.049622E11;-1.149182E11
64;T2;0;0
65;T1;-85007400000;-91066205464
65;T2;0;0
66;T1;0;0
66;T2;-87800000;-91685414.53
67;T1;0;0
67;T2;-5891500000;-5889316228
68;T1;0;0
68;T2;-316100000;-361661967
69;T1;0;0
69;T2;-150200000;-172356909.4
70;T1;0;0
70;T2;0;0
71;T1;0;0
71;T2;0;0
72;T1;0;0
72;T2;0;0
73;T1;0;0
73;T2;0;0
74;T1;0;0
74;T2;0;0
75;T1;1857500000;1963151189.1
75;T2;16200000;15956109.622
76;T1;539200000;577292736.43
76;T2;100000;99777.652392
77;T1;214600000;230449016.09
77;T2;0;0
78;T1;0;0
78;T2;0;0
79;T1;0;0
79;T2;0;0
80;T1;0;0
80;T2;0;0
81;T1;0;0
81;T2;0;0
82;T1;0;0
82;T2;0;0
83;T1;0;0
83;T2;0;0
84;T1;0;0
84;T2;0;0
85;T1;0;0
85;T2;0;0
86;T1;0;0
86;T2;200000;215420.0677
87;T1;0;0
87;T2;0;0
88;T1;0;0
88;T2;0;0
89;T1;117200000;122804154.8
89;T2;200000;195300.12273
90;T1;0;0
90;T2;0;0
91;T1;0;0
91;T2;0;0
92;T1;0;0
92;T2;0;0
93;T1;0;0
93;T2;0;0
94;T1;0;0
94;T2;0;0
95;T1;0;0
95;T2;0;0
96;T1;0;0
96;T2;0;0
97;T1;0;0
97;T2;0;0
98;T1;0;0
98;T2;0;0
99;T1;0;0
99;T2;0;0
100;T1;0;0
100;T2;0;0
101;T1;0;0
101;T2;0;0
102;T1;67000000;65646033.263
102;T2;0;0
103;T1;0;0
103;T2;200000;182866.01662
104;T1;0;0
104;T2;0;0
105;T1;0;0
105;T2;0;0
106;T1;0;0
106;T2;0;0
107;T1;0;0
107;T2;0;0
108;T1;0;0
108;T2;200000;189088.42526
