R_PRODUCTO;C_RAMA;VALOR;VALOR_C
1;1;1021400000;1019201061.4
1;2;0;0
1;3;0;0
1;4;0;0
1;5;373800000;401753651.98
1;6;296200000;313240700.91
1;7;13912900000;14858945477
1;8;1512000000;1555867418
1;9;92900000;93932092.146
1;10;118700000;122681523.63
1;11;97300000;91886017.092
1;12;19500000;18890642.604
1;13;5000000;5462214.8787
1;14;24800000;26188943.792
1;15;0;0
1;16;0;0
1;17;527600000;569722361.04
1;18;75500000;73123865.523
1;19;223700000;239588493.34
1;20;0;0
1;21;0;0
1;22;0;0
1;23;0;0
1;24;0;0
1;25;0;0
1;26;0;0
1;27;0;0
1;28;9200000;9443189.2864
1;29;0;0
1;30;0;0
1;31;0;0
1;32;0;0
1;33;10300000;11006326.537
1;34;500000;577597.07114
1;35;100000;111328.21162
1;36;100000;106072.06744
1;37;0;0
1;38;412600000;411936949.36
1;39;24700000;24698696.682
1;40;0;0
1;41;0;0
1;42;0;0
1;43;0;0
1;44;0;0
1;45;1000000;997734.92894
1;46;0;0
1;47;34500000;36737243.428
1;48;751300000;786564488.89
1;49;0;0
1;50;0;0
1;51;0;0
1;52;0;0
1;53;1100000;1051879.2434
1;54;100000;87708.523093
1;55;300000;349051.47779
1;56;0;0
1;57;0;0
1;58;0;0
1;59;9800000;9648694.4448
1;60;0;0
1;61;5500000;6193087.0861
1;62;0;0
1;63;0;0
1;64;0;0
1;65;0;0
1;66;0;0
1;67;0;0
1;68;0;0
1;69;79100000;86310580.355
1;70;0;0
1;71;126600000;122017770.72
1;72;131900000;134132464.62
1;73;66600000;68254800.513
1;74;20300000;20255363.193
1;75;200000;218778.11297
1;76;200000;212287.15758
1;77;700000;657395.72729
1;78;0;0
1;79;0;0
2;1;109900000;108135701.44
2;2;0;0
2;3;0;0
2;4;0;0
2;5;10580200000;11212999663
2;6;3079400000;3211194667
2;7;3221200000;3392309054
2;8;58900000;59764526.818
2;9;0;0
2;10;18600000;18956090.866
2;11;100100000;93213337.832
2;12;368800000;352298203.18
2;13;0;0
2;14;0;0
2;15;0;0
2;16;0;0
2;17;53500000;56966515.574
2;18;135500000;129407331.11
2;19;0;0
2;20;0;0
2;21;0;0
2;22;0;0
2;23;0;0
2;24;0;0
2;25;0;0
2;26;0;0
2;27;0;0
2;28;0;0
2;29;0;0
2;30;0;0
2;31;0;0
2;32;0;0
2;33;0;0
2;34;0;0
2;35;0;0
2;36;0;0
2;37;0;0
2;38;55400000;54540446.01
2;39;45900000;45258188.251
2;40;0;0
2;41;0;0
2;42;0;0
2;43;0;0
2;44;0;0
2;45;0;0
2;46;0;0
2;47;7300000;7665098.2616
2;48;11300000;11665592.068
2;49;0;0
2;50;0;0
2;51;0;0
2;52;0;0
2;53;0;0
2;54;0;0
2;55;0;0
2;56;0;0
2;57;0;0
2;58;0;0
2;59;0;0
2;60;0;0
2;61;14300000;15877712.38
2;62;0;0
2;63;0;0
2;64;9600000;8754261.3888
2;65;0;0
2;66;0;0
2;67;0;0
2;68;0;0
2;69;0;0
2;70;0;0
2;71;21000000;19957956.455
2;72;26500000;26573109.588
2;73;15500000;15663833.793
2;74;7700000;7576037.5339
2;75;1300000;1402247.3382
2;76;28900000;30248160.219
2;77;0;0
2;78;0;0
2;79;0;0
3;1;500400000;508169349.73
3;2;0;0
3;3;0;0
3;4;0;0
3;5;27200000;29752029.261
3;6;1500000;1614401.4695
3;7;25400000;27607761.493
3;8;13300000;13928347.331
3;9;2900000;2984169.1174
3;10;14600000;15357073.049
3;11;0;0
3;12;20800000;20507022.477
3;13;0;0
3;14;0;0
3;15;0;0
3;16;0;0
3;17;0;0
3;18;0;0
3;19;21900000;23871034.445
3;20;0;0
3;21;0;0
3;22;0;0
3;23;0;0
3;24;0;0
3;25;0;0
3;26;0;0
3;27;0;0
3;28;0;0
3;29;0;0
3;30;0;0
3;31;0;0
3;32;0;0
3;33;0;0
3;34;5100000;5995871.357
3;35;2500000;2832516.1422
3;36;5100000;5505520.2207
3;37;0;0
3;38;0;0
3;39;0;0
3;40;0;0
3;41;0;0
3;42;0;0
3;43;0;0
3;44;0;0
3;45;0;0
3;46;0;0
3;47;0;0
3;48;0;0
3;49;0;0
3;50;0;0
3;51;0;0
3;52;0;0
3;53;0;0
3;54;0;0
3;55;0;0
3;56;0;0
3;57;0;0
3;58;0;0
3;59;0;0
3;60;0;0
3;61;0;0
3;62;0;0
3;63;0;0
3;64;0;0
3;65;0;0
3;66;0;0
3;67;0;0
3;68;0;0
3;69;0;0
3;70;0;0
3;71;200000;196176.29509
3;72;0;0
3;73;0;0
3;74;0;0
3;75;0;0
3;76;0;0
3;77;0;0
3;78;0;0
3;79;0;0
4;1;6700000;6517217.1816
4;2;874300000;820971063.05
4;3;0;0
4;4;800000;791602.18234
4;5;0;0
4;6;800000;824719.94422
4;7;2800000;2915088.4332
4;8;24200000;24275016.756
4;9;0;0
4;10;1200000;1209018.8316
4;11;0;0
4;12;0;0
4;13;78800000;83916695.054
4;14;235000000;241912072.62
4;15;0;0
4;16;0;0
4;17;3000000;3157934.4472
4;18;7600000;7175450.2772
4;19;37100000;38734438.018
4;20;0;0
4;21;0;0
4;22;2300000;2526124.5379
4;23;0;0
4;24;0;0
4;25;0;0
4;26;0;0
4;27;0;0
4;28;15200000;15208901.004
4;29;6300000;6281015.2211
4;30;0;0
4;31;38800000;39320804.122
4;32;0;0
4;33;3600000;3749998.0923
4;34;0;0
4;35;0;0
4;36;0;0
4;37;0;0
4;38;4300000;4184979.7197
4;39;700000;682336.33873
4;40;0;0
4;41;0;0
4;42;0;0
4;43;0;0
4;44;0;0
4;45;0;0
4;46;0;0
4;47;13100000;13598222.529
4;48;0;0
4;49;0;0
4;50;0;0
4;51;0;0
4;52;0;0
4;53;0;0
4;54;0;0
4;55;0;0
4;56;0;0
4;57;0;0
4;58;0;0
4;59;0;0
4;60;0;0
4;61;0;0
4;62;0;0
4;63;0;0
4;64;0;0
4;65;0;0
4;66;0;0
4;67;0;0
4;68;0;0
4;69;900000;957311.86171
4;70;0;0
4;71;36600000;34386964.731
4;72;0;0
4;73;0;0
4;74;0;0
4;75;200000;213268.76274
4;76;0;0
4;77;0;0
4;78;0;0
4;79;0;0
5;1;0;0
5;2;0;0
5;3;45400000;45593090.827
5;4;0;0
5;5;4300000;4676877.5234
5;6;2800000;2996526.8214
5;7;230900000;249552119.94
5;8;0;0
5;9;0;0
5;10;0;0
5;11;0;0
5;12;0;0
5;13;0;0
5;14;0;0
5;15;0;0
5;16;0;0
5;17;0;0
5;18;0;0
5;19;0;0
5;20;0;0
5;21;0;0
5;22;0;0
5;23;0;0
5;24;0;0
5;25;0;0
5;26;0;0
5;27;0;0
5;28;0;0
5;29;0;0
5;30;0;0
5;31;0;0
5;32;0;0
5;33;0;0
5;34;0;0
5;35;0;0
5;36;0;0
5;37;0;0
5;38;800000;808273.82876
5;39;200000;202383.02559
5;40;0;0
5;41;0;0
5;42;0;0
5;43;0;0
5;44;0;0
5;45;0;0
5;46;0;0
5;47;2900000;3125017.6455
5;48;1500000;1589202.3944
5;49;0;0
5;50;0;0
5;51;0;0
5;52;0;0
5;53;0;0
