C_RAMA,VALOR
1,23014000000.0
2,903000000.0
3,1220999999.9999995
4,2280000000.0
5,21378000000.0
6,7516000000.0
7,52264000000.00001
8,12618000000.0
9,448999999.99999994
10,4103000000.0
11,3401000000.0
12,3244000000.0000005
13,4860000000.0
14,9665000000.0
15,3497000000.0
16,30313000000.000004
17,29410000000.000004
18,8097000000.000002
19,13733000000.000002
20,12204000000.000002
21,24655000000.0
22,23640000000.000004
23,2737000000.0000005
24,12528000000.0
25,13620000000.0
26,55144999999.99999
27,11559000000.0
28,3560999999.9999995
29,2506999999.9999995
30,6302000000.0
31,36195000000.00001
32,5064000000.0
33,12073000000.000002
34,39124000000.00001
35,10122000000.0
36,27337000000.0
37,14184000000.000004
38,54901000000.0
39,27936999999.999996
40,2311000000.0
41,4145000000.000001
42,21604000000.0
43,1392999999.9999998
44,8514000000.0
45,27049000000.0
46,2707999999.9999995
47,12040000000.0
48,41218000000.000015
49,3312000000.0
50,7149000000.000001
51,16174000000.0
52,17755000000.0
53,15432000000.0
54,10197000000.000002
55,6939000000.0
56,11141999999.999998
57,7194000000.0
58,8567999999.999998
59,8613000000.000002
60,14791000000.000002
61,2186999999.9999995
62,6478000000.0
63,2327000000.0
64,323000000.00000006
65,5915000000.0
66,677000000.0
67,13611999999.999998
68,1288000000.0
69,3807000000.0000005
70,7505999999.999999
71,21740999999.999996
72,9670000000.0
73,26840000000.0
74,7248999999.999999
75,6929000000.0
76,6921000000.0
77,5070000000.0
78,982000000.0000001
79,3058000000.0000005
