R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;TOTAL;217800000;257158717.25
2;TOTAL;-9200000;-7483281.528
3;TOTAL;-9900000;-8577811.799
4;TOTAL;33700000;45485232.169
5;TOTAL;420400000;495462863.65
6;TOTAL;240600000;262750074.44
7;TOTAL;-300000;-225513.9256
8;TOTAL;-100000;-90329.83722
9;TOTAL;300000;337239.30288
10;TOTAL;30600000;32206109.466
11;TOTAL;1413000000;1611920323.9
12;TOTAL;517700000;595126275.42
13;TOTAL;233100000;268775238.72
14;TOTAL;144200000;165540669.58
15;TOTAL;2726100000;3116997825.5
16;TOTAL;2391300000;2725681289.1
17;TOTAL;406400000;462989433.3
18;TOTAL;9318600000;10405221843
19;TOTAL;587000000;656593591.7
20;TOTAL;3622600000;4162513396.9
21;TOTAL;1408700000;1654933656.7
22;TOTAL;111100000;128597157.93
23;TOTAL;47900000;54106245.718
24;TOTAL;671400000;767961430.47
25;TOTAL;64100000;77580751.952
26;TOTAL;17446500000;18920205799
27;TOTAL;345200000;394459390.99
28;TOTAL;1796800000;2060972734.1
29;TOTAL;9700000;10941044.947
30;TOTAL;909800000;1036635200.9
31;TOTAL;405800000;463080980.33
32;TOTAL;253400000;292903010.63
33;TOTAL;97600000;110981844.43
34;TOTAL;82800000;97567330.382
35;TOTAL;24700000;30130553.409
36;TOTAL;14200000;16677907.015
37;TOTAL;70200000;82428386.65
38;TOTAL;395200000;453455654.31
39;TOTAL;15900000;18241557.245
40;TOTAL;459700000;529305579.93
41;TOTAL;1107100000;1264078632.8
42;TOTAL;454400000;534372248.16
43;TOTAL;762700000;873072503.36
44;TOTAL;349400000;401733527.72
45;TOTAL;3881800000;4535062462.2
46;TOTAL;185300000;210828061.85
47;TOTAL;15600000;17903132.432
48;TOTAL;7100000;8137556.5413
49;TOTAL;8300000;9518903.0615
50;TOTAL;314800000;356412134.33
51;TOTAL;1046300000;1192410430.5
52;TOTAL;1918700000;2168382093.7
53;TOTAL;444800000;508286651.62
54;TOTAL;2333900000;2727295807
55;TOTAL;1244600000;1482771164.5
56;TOTAL;359500000;418325030.09
57;TOTAL;13000000;14849164.244
58;TOTAL;2467900000;2708772568.1
59;TOTAL;547100000;605730128.33
60;TOTAL;506700000;604182021.77
61;TOTAL;2497300000;2577397971.5
62;TOTAL;84700000;85745167.629
63;TOTAL;2132200000;2342532325.5
64;TOTAL;23500000;22785420.938
65;TOTAL;0;0
66;TOTAL;-472200000;-432886131.8
67;TOTAL;-1273000000;-1117144493
68;TOTAL;4300000;4281028.8879
69;TOTAL;46200000;45860761.043
70;TOTAL;117000000;135692629.47
71;TOTAL;559400000;643926775.52
72;TOTAL;-119900000;-104327895.6
73;TOTAL;898500000;929115160.78
74;TOTAL;5715000000;6187131134.2
75;TOTAL;349700000;392342790.07
76;TOTAL;144000000;163664248.48
77;TOTAL;149700000;170652266.16
78;TOTAL;3118700000;3714068098.3
79;TOTAL;590400000;634619845.62
80;TOTAL;653000000;729600884.38
81;TOTAL;1475000000;1865998902.9
82;TOTAL;441000000;470048581.43
83;TOTAL;1458800000;1504836561.4
84;TOTAL;0;0
85;TOTAL;8957100000;10011136204
86;TOTAL;598100000;733817410.93
87;TOTAL;50800000;59923552.583
88;TOTAL;532600000;575844222.5
89;TOTAL;311700000;346710799.83
90;TOTAL;131900000;130962482.12
91;TOTAL;358400000;382141487.45
92;TOTAL;217600000;241176600.38
93;TOTAL;37700000;38074393.196
94;TOTAL;468700000;587516502.29
95;TOTAL;403800000;443106053.01
96;TOTAL;831600000;963895825.36
97;TOTAL;564000000;614205205.99
98;TOTAL;0;0
99;TOTAL;177700000;210017689.07
100;TOTAL;445300000;493710612.25
101;TOTAL;452900000;489270999.74
102;TOTAL;249100000;259091122.26
103;TOTAL;-6500000;-6240972.954
104;TOTAL;1318000000;1368792125.8
105;TOTAL;1736100000;1904054553.1
106;TOTAL;75400000;88095849.332
107;TOTAL;373900000;404991446.8
108;TOTAL;1389200000;1496090175.6
