R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;TOTAL;9656500000;11701981907
2;TOTAL;543200000;685412162.49
3;TOTAL;0;0
4;TOTAL;112800000;156259315.2
5;TOTAL;1484200000;1795300411.5
6;TOTAL;808700000;906423110.55
7;TOTAL;16978600000;23181742035
8;TOTAL;5065200000;5755216594.5
9;TOTAL;3269100000;3771737293.2
10;TOTAL;560500000;605464601.63
11;TOTAL;1963500000;2298945188.8
12;TOTAL;1729500000;2040552762.1
13;TOTAL;3123200000;3696094621.8
14;TOTAL;478700000;564026068.19
15;TOTAL;12385200000;14534297409
16;TOTAL;1529700000;1789548931.8
17;TOTAL;367200000;429354831.84
18;TOTAL;1722800000;1974384982.7
19;TOTAL;4258400000;4888789002.6
20;TOTAL;16408500000;19350867757
21;TOTAL;5127100000;6182016558.5
22;TOTAL;1432600000;1701917721.7
23;TOTAL;3091900000;3584541629.3
24;TOTAL;1252300000;1470153745.4
25;TOTAL;493900000;613523614.6
26;TOTAL;7989100000;8892250747.3
27;TOTAL;14270600000;16736708344
28;TOTAL;8064800000;9494288212
29;TOTAL;538700000;623634805.64
30;TOTAL;17113500000;20013136655
31;TOTAL;3159700000;3700727041.9
32;TOTAL;5734500000;6803134924.4
33;TOTAL;1647400000;1922637834.3
34;TOTAL;605500000;732292413.46
35;TOTAL;152100000;190430133.27
36;TOTAL;591500000;713024175.07
37;TOTAL;10486300000;12637415589
38;TOTAL;6559500000;7724758737
39;TOTAL;1148200000;1352006036.7
40;TOTAL;4103400000;4849222647.6
41;TOTAL;14171800000;16607664253
42;TOTAL;9562100000;11541311326
43;TOTAL;2507400000;2945889740.7
44;TOTAL;18420300000;21737429120
45;TOTAL;23098000000;27696238888
46;TOTAL;18196600000;21249051424
47;TOTAL;314400000;370325199.38
48;TOTAL;253500000;298201577.25
49;TOTAL;4216900000;4963618745.5
50;TOTAL;1256200000;1459731060
51;TOTAL;2622200000;3067126273
52;TOTAL;7611500000;8828670133.2
53;TOTAL;172300000;202081010.83
54;TOTAL;1827100000;2191334218.7
55;TOTAL;424100000;518571816.14
56;TOTAL;93500000;111666491.03
57;TOTAL;2165200000;2538358618.8
58;TOTAL;20900000;23544397.042
59;TOTAL;18700000;21249580.919
60;TOTAL;8100000;9912842.7023
61;TOTAL;269300000;285261670.24
62;TOTAL;0;0
63;TOTAL;0;0
64;TOTAL;286300000;284909443.22
65;TOTAL;0;0
66;TOTAL;12000000;13434758.319
67;TOTAL;1776800000;2078039996.4
68;TOTAL;20900000;21356116.978
69;TOTAL;484400000;493514274.08
70;TOTAL;0;0
71;TOTAL;2116000000;2499919289.3
72;TOTAL;116000000;136827385.09
73;TOTAL;2207000000;2342340893.4
74;TOTAL;473000000;525569953.54
75;TOTAL;1889200000;2175425840.1
76;TOTAL;2183500000;2547069684.7
77;TOTAL;23400000;27378044.117
78;TOTAL;2106600000;2574866067.8
79;TOTAL;6216400000;6858080114.8
80;TOTAL;3109000000;3565243482.4
81;TOTAL;1053000000;1367237737.7
82;TOTAL;901000000;985655727.72
83;TOTAL;1351600000;1430994830.4
84;TOTAL;0;0
85;TOTAL;4383700000;5028669284.5
86;TOTAL;1453900000;1830817470.8
87;TOTAL;494100000;598198054.74
88;TOTAL;1038800000;1152741941.4
89;TOTAL;967400000;1104416668.8
90;TOTAL;0;0
91;TOTAL;40800000;44649094.322
92;TOTAL;761200000;865907217.85
93;TOTAL;85700000;88831861.789
94;TOTAL;1225600000;1576776615.7
95;TOTAL;95100000;107107081.87
96;TOTAL;216500000;257554902.79
97;TOTAL;880900000;984594263.88
98;TOTAL;0;0
99;TOTAL;116500000;141315784.91
100;TOTAL;24000000;27310352.84
101;TOTAL;0;0
102;TOTAL;65900000;70349420.02
103;TOTAL;153500000;164083812.39
104;TOTAL;0;0
105;TOTAL;43200000;48627808.644
106;TOTAL;92900000;111402802.73
107;TOTAL;3900000;4335620.8408
108;TOTAL;578100000;638987360.83
