R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;TOTAL;217800000;246563039.81
2;TOTAL;-9200000;-8074565.9
3;TOTAL;-9900000;-8733586.661
4;TOTAL;33700000;40433367.651
5;TOTAL;420400000;480019185.38
6;TOTAL;240600000;265209529.67
7;TOTAL;-300000;-213883.2685
8;TOTAL;-100000;-90687.61176
9;TOTAL;300000;342584.34813
10;TOTAL;30600000;32572254.317
11;TOTAL;1413000000;1618448752.7
12;TOTAL;517700000;591110845.94
13;TOTAL;233100000;263692914.94
14;TOTAL;144200000;166498557.65
15;TOTAL;2726100000;3080269846.5
16;TOTAL;2391300000;2660049097.7
17;TOTAL;406400000;451993292.5
18;TOTAL;9318600000;10343380411
19;TOTAL;587000000;642493260.53
20;TOTAL;3622600000;4092935012.3
21;TOTAL;1408700000;1591526953.4
22;TOTAL;111100000;124722499.42
23;TOTAL;47900000;53126258.046
24;TOTAL;671400000;752711584.4
25;TOTAL;64100000;73793875.412
26;TOTAL;17446500000;18035620128
27;TOTAL;345200000;385892711.76
28;TOTAL;1796800000;2008853799.9
29;TOTAL;9700000;10724352.832
30;TOTAL;909800000;1024163802.6
31;TOTAL;405800000;452452976.44
32;TOTAL;253400000;284208770.34
33;TOTAL;97600000;109629429.12
34;TOTAL;82800000;94945755.797
35;TOTAL;24700000;29122254.221
36;TOTAL;14200000;16321650.095
37;TOTAL;70200000;77780725.149
38;TOTAL;395200000;439841817.12
39;TOTAL;15900000;17824156.767
40;TOTAL;459700000;520204236.36
41;TOTAL;1107100000;1235476362.4
42;TOTAL;454400000;516008359
43;TOTAL;762700000;851448338.81
44;TOTAL;349400000;392878725.79
45;TOTAL;3881800000;4432587990.3
46;TOTAL;185300000;205982069.1
47;TOTAL;15600000;17807789.179
48;TOTAL;7100000;8071963.3495
49;TOTAL;8300000;9411559.2337
50;TOTAL;314800000;350489951.27
51;TOTAL;1046300000;1203986920.5
52;TOTAL;1918700000;2138207982.3
53;TOTAL;444800000;502500061.9
54;TOTAL;2333900000;2645257786.8
55;TOTAL;1244600000;1438743986.4
56;TOTAL;359500000;422464334.61
57;TOTAL;13000000;14948514.415
58;TOTAL;2467900000;2720700796
59;TOTAL;547100000;611619885.14
60;TOTAL;506700000;619674040.02
61;TOTAL;2497300000;2741850525.9
62;TOTAL;84700000;86486879.709
63;TOTAL;2132200000;2322867024.8
64;TOTAL;23500000;23942184.502
65;TOTAL;0;0
66;TOTAL;-472200000;-407614715.2
67;TOTAL;-1273000000;-1117449577
68;TOTAL;4300000;4663320.8625
69;TOTAL;46200000;48478759.596
70;TOTAL;117000000;134351839.17
71;TOTAL;559400000;642795627.46
72;TOTAL;-119900000;-105310549.3
73;TOTAL;898500000;947803224.65
74;TOTAL;5715000000;6358715641.2
75;TOTAL;349700000;394501085.34
76;TOTAL;144000000;161833680.5
77;TOTAL;149700000;169503788.12
78;TOTAL;3118700000;3616502747.7
79;TOTAL;590400000;645187141.24
80;TOTAL;653000000;718520323.6
81;TOTAL;1475000000;1689920346.3
82;TOTAL;441000000;464331830.18
83;TOTAL;1458800000;1552719498
84;TOTAL;0;0
85;TOTAL;8957100000;10117694866
86;TOTAL;598100000;717143336.25
87;TOTAL;50800000;59497543.376
88;TOTAL;532600000;580456241.29
89;TOTAL;311700000;342150310.81
90;TOTAL;131900000;145514937.63
91;TOTAL;358400000;394679035.09
92;TOTAL;217600000;243461388.72
93;TOTAL;37700000;37419038.889
94;TOTAL;468700000;516932628.47
95;TOTAL;403800000;456799684.77
96;TOTAL;831600000;955582953.79
97;TOTAL;564000000;621597978.61
98;TOTAL;0;0
99;TOTAL;177700000;203878388.29
100;TOTAL;445300000;502030915.02
101;TOTAL;452900000;499153734.9
102;TOTAL;249100000;258341181.7
103;TOTAL;-6500000;-6265792.633
104;TOTAL;1318000000;1385431044.3
105;TOTAL;1736100000;1887337322.6
106;TOTAL;75400000;87813185.19
107;TOTAL;373900000;415185597.2
108;TOTAL;1389200000;1521929470
