R_PRODUCTO,C_AGREGADO,VALOR
43,F4,241400000.0
43,F5,19800000.0
43,F6,1175000000.0
43,F7,291300000.0
44,F1,448100000.0
44,F2,0.0
44,F3,0.0
44,F4,14582100000.0
44,F5,330200000.0
44,F6,7484100000.0
44,F7,8307500000.0
45,F1,20202800000.0
45,F2,0.0
45,F3,0.0
45,F4,15778200000.0
45,F5,211500000.0
45,F6,34588800000.0
45,F7,7346900000.0
46,F1,717100000.0
46,F2,0.0
46,F3,0.0
46,F4,320800000.0
46,F5,1204800000.0
46,F6,7857900000.0
46,F7,2705100000.0
47,F1,61000000.0
47,F2,0.0
47,F3,0.0
47,F4,891600000.0
47,F5,83400000.0
47,F6,52500000.0
47,F7,557800000.0
48,F1,0.0
48,F2,0.0
48,F3,0.0
48,F4,824800000.0
48,F5,-54000000.0
48,F6,482700000.0
48,F7,673700000.0
49,F1,7500000.0
49,F2,0.0
49,F3,0.0
49,F4,2143199999.9999998
49,F5,814800000.0
49,F6,4990400000.0
49,F7,1834900000.0
50,F1,1503300000.0
50,F2,0.0
50,F3,80200000.0
50,F4,139600000.0
50,F5,22500000.0
50,F6,414400000.0
50,F7,102000000.0
51,F1,6612000000.0
51,F2,0.0
51,F3,0.0
51,F4,162400000.0
51,F5,-189200000.0
51,F6,1246199999.9999998
51,F7,700300000.0
52,F1,9015500000.0
52,F2,3900000.0
52,F3,146800000.0
52,F4,866100000.0
52,F5,2270500000.0
52,F6,2231000000.0
52,F7,1005800000.0
53,F1,306900000.0
53,F2,1000000.0
53,F3,0.0
53,F4,8461700000.000001
53,F5,0.0
53,F6,260100000.00000003
53,F7,240200000.0
54,F1,14171700000.0
54,F2,0.0
54,F3,0.0
54,F4,0.0
54,F5,-335900000.0
54,F6,364300000.0
54,F7,274600000.0
55,F1,5847100000.0
55,F2,0.0
55,F3,0.0
55,F4,0.0
55,F5,145300000.0
55,F6,18300000.0
55,F7,16800000.0
56,F1,3465000000.0
56,F2,7700000.0
56,F3,503000000.0
56,F4,0.0
56,F5,200000.0
56,F6,5700000.0
56,F7,5200000.0
57,F1,3225900000.0
57,F2,9700000.0
57,F3,3406000000.0
57,F4,51000000.0
57,F5,21100000.0
57,F6,608400000.0
57,F7,743600000.0
58,F1,0.0
58,F2,9200000.0
58,F3,214000000.0
58,F4,29481100000.0
58,F5,0.0
58,F6,71500000.0
58,F7,136600000.0
59,F1,0.0
59,F2,9200000.0
59,F3,118000000.0
59,F4,9816300000.0
59,F5,0.0
59,F6,11899999.999999998
59,F7,22700000.0
60,F1,0.0
60,F2,0.0
60,F3,1550000000.0
60,F4,13517300000.0
60,F5,0.0
60,F6,155200000.0
60,F7,296600000.0
61,F1,6083300000.0
61,F2,1900000.0
61,F3,0.0
61,F4,27931000000.0
61,F5,0.0
61,F6,254400000.0
61,F7,486100000.0
62,F1,606700000.0
62,F2,0.0
62,F3,0.0
62,F4,0.0
62,F5,0.0
62,F6,12200000.0
62,F7,4000000.0
63,F1,14290400000.0
63,F2,0.0
63,F3,0.0
63,F4,0.0
63,F5,0.0
63,F6,0.0
63,F7,0.0
64,F1,0.0
64,F2,0.0
64,F3,0.0
64,F4,0.0
64,F5,0.0
64,F6,948700000.0
64,F7,304100000.0
65,F1,0.0
65,F2,0.0
65,F3,0.0
65,F4,0.0
65,F5,0.0
65,F6,0.0
65,F7,0.0
66,F1,1814700000.0
66,F2,0.0
66,F3,385000000.0
66,F4,0.0
66,F5,0.0
66,F6,77200000.0
66,F7,4000000.0
67,F1,7485400000.0
67,F2,200000.0
67,F3,954000000.0
67,F4,0.0
67,F5,0.0
67,F6,5639300000.0
67,F7,686600000.0
68,F1,356000000.0
68,F2,0.0
68,F3,80000000.0
68,F4,0.0
68,F5,0.0
68,F6,71900000.0
68,F7,570300000.0
69,F1,3162800000.0
69,F2,0.0
69,F3,332000000.0
69,F4,0.0
69,F5,0.0
69,F6,1232500000.0
69,F7,1964200000.0
70,F1,300000.0
70,F2,1500000.0
70,F3,0.0
70,F4,0.0
70,F5,0.0
70,F6,0.0
70,F7,0.0
71,F1,2772800000.0
71,F2,8199999.999999999
71,F3,5638000000.0
71,F4,0.0
71,F5,0.0
71,F6,3227000000.0
71,F7,1694000000.0
72,F1,98800000.0
72,F2,0.0
72,F3,0.0
72,F4,0.0
72,F5,0.0
72,F6,95000000.0
72,F7,49000000.0
73,F1,10209300000.0
73,F2,16500000.0
73,F3,11000000.0
73,F4,0.0
73,F5,0.0
73,F6,4791000000.0
73,F7,1576000000.0
74,F1,86156000000.0
74,F2,14500000.0
74,F3,245000000.0
74,F4,0.0
74,F5,0.0
74,F6,343000000.0
74,F7,114000000.0
75,F1,4067000000.0
75,F2,9700000.0
75,F3,110000000.0
75,F4,2075000000.0
75,F5,25300000.0
75,F6,819700000.0
75,F7,580800000.0
76,F1,1106600000.0
76,F2,2900000.0
76,F3,0.0
76,F4,1467500000.0
76,F5,53900000.0
76,F6,819199999.9999999
76,F7,716200000.0
77,F1,346500000.0
77,F2,1000000.0
77,F3,2018000000.0
77,F4,1708400000.0
77,F5,0.0
77,F6,155600000.0
77,F7,176500000.0
78,F1,14923700000.0
78,F2,0.0
78,F3,682000000.0
78,F4,0.0
78,F5,0.0
78,F6,810900000.0
78,F7,944600000.0
79,F1,3300000.0
79,F2,2900000.0
79,F3,367000000.0
79,F4,18303000000.0
79,F5,-5300000.0
79,F6,4550300000.0
79,F7,5526100000.0
80,F1,11486000000.0
80,F2,0.0
80,F3,65000000.0
80,F4,0.0
80,F5,0.0
80,F6,1668400000.0
80,F7,960900000.0
81,F1,11929000000.0
81,F2,0.0
81,F3,0.0
81,F4,0.0
81,F5,0.0
81,F6,461000000.0
81,F7,632000000.0
82,F1,4415400000.0
82,F2,0.0
82,F3,13000000.0
82,F4,0.0
82,F5,0.0
82,F6,414000000.0
82,F7,323700000.0
83,F1,21635000000.0
83,F2,22300000.0
83,F3,268000000.0
83,F4,3006500000.0
83,F5,0.0
83,F6,154700000.0
83,F7,114900000.0
84,F1,90119000000.0
84,F2,0.0
84,F3,0.0
84,F4,0.0
84,F5,0.0
84,F6,0.0
84,F7,0.0
85,F1,2983000000.0
85,F2,15500000.0
85,F3,504000000.0
85,F4,9747600000.0
85,F5,0.0
85,F6,2127800000.0000002
85,F7,1250500000.0
86,F1,688000000.0
86,F2,28100000.0
86,F3,236000000.0
86,F4,2689000000.0
86,F5,-451400000.0
86,F6,2029500000.0
86,F7,5120500000.0
87,F1,0.0
87,F2,0.0
87,F3,2177000000.0
87,F4,13869000000.0
87,F5,0.0
87,F6,704000000.0
87,F7,321700000.0
88,F1,0.0
88,F2,16500000.0
88,F3,5000000.0
88,F4,0.0
88,F5,0.0
88,F6,904600000.0
88,F7,534900000.0
89,F1,491700000.0
89,F2,1900000.0
89,F3,106000000.0
89,F4,0.0
89,F5,0.0
89,F6,387900000.0
89,F7,359300000.0
90,F1,857300000.0
90,F2,1000000.0
90,F3,3000000.0
90,F4,0.0
90,F5,0.0
90,F6,0.0
90,F7,0.0
91,F1,780700000.0
91,F2,100000.0
91,F3,0.0
91,F4,0.0
91,F5,0.0
91,F6,111800000.0
91,F7,37600000.0
92,F1,460500000.0
92,F2,1900000.0
92,F3,0.0
92,F4,0.0
92,F5,0.0
92,F6,224000000.0
92,F7,150800000.0
93,F1,500000.0
93,F2,4800000.0
93,F3,3000000.0
93,F4,0.0
93,F5,0.0
93,F6,159100000.0
93,F7,147000000.0
94,F1,9289500000.0
94,F2,1000000.0
94,F3,218000000.0
94,F4,0.0
94,F5,0.0
94,F6,3433100000.0000005
94,F7,1221000000.0
95,F1,479800000.0
95,F2,0.0
95,F3,0.0
95,F4,0.0
95,F5,0.0
95,F6,800000.0
95,F7,800000.0
96,F1,452800000.0
96,F2,10600000.0
96,F3,96000000.0
96,F4,0.0
96,F5,0.0
96,F6,3800000.0000000005
96,F7,3400000.0
97,F1,221400000.0
97,F2,31000000.0
97,F3,11000000.0
97,F4,0.0
97,F5,0.0
97,F6,1653500000.0
97,F7,1264300000.0
98,F1,795900000.0
98,F2,0.0
98,F3,66463000000.0
98,F4,0.0
98,F5,0.0
98,F6,328000000.0
98,F7,49000000.0
99,F1,12276500000.0
99,F2,2094000000.0
99,F3,42719000000.0
99,F4,0.0
99,F5,0.0
99,F6,26000000.0
99,F7,76100000.0
100,F1,17155900000.000002
100,F2,355000000.0
100,F3,51137000000.0
100,F4,0.0
100,F5,0.0
100,F6,18000000.0
100,F7,41000000.0
101,F1,6882000000.0
101,F2,2650000000.0
101,F3,12132000000.0
101,F4,0.0
101,F5,0.0
101,F6,0.0
101,F7,0.0
102,F1,1701400000.0
102,F2,31900000.0
102,F3,2020000000.0
102,F4,220100000.0
102,F5,305000000.0
102,F6,30200000.0
102,F7,69500000.0
103,F1,249100000.0
103,F2,22300000.0
103,F3,2805000000.0
103,F4,0.0
103,F5,0.0
103,F6,294800000.0
103,F7,97700000.0
104,F1,9059000000.0
104,F2,1000000.0
104,F3,0.0
104,F4,0.0
104,F5,0.0
104,F6,0.0
104,F7,0.0
105,F1,9912200000.0
105,F2,619000000.0
105,F3,3320000000.0
105,F4,0.0
105,F5,0.0
105,F6,85800000.0
105,F7,152600000.0
106,F1,0.0
106,F2,5801500000.0
106,F3,9000000.0
106,F4,0.0
106,F5,0.0
106,F6,36900000.0
106,F7,13900000.0
107,F1,1674700000.0
107,F2,0.0
107,F3,0.0
107,F4,180800000.0
107,F5,0.0
107,F6,0.0
107,F7,0.0
108,F1,13173100000.0
108,F2,54200000.0
108,F3,43000000.0
108,F4,0.0
108,F5,0.0
108,F6,47099999.99999999
108,F7,7100000.0
