C_RAMA,VALOR
1,52866000000.00001
2,1834000000.0
3,2837000000.0000005
4,4355999999.999999
5,30178000000.0
6,9091000000.0
7,63140000000.00001
8,16860000000.0
9,756000000.0000001
10,6411000000.0
11,6191000000.0
12,7493000000.0
13,6773000000.0
14,13403999999.999998
15,5708000000.0
16,33795000000.0
17,38610999999.99999
18,15267999999.999998
19,19863000000.0
20,17838000000.0
21,31244000000.0
22,35006000000.0
23,4412000000.0
24,16876000000.0
25,20489000000.0
26,66893000000.0
27,15734000000.000002
28,5385000000.0
29,5022000000.0
30,12285000000.000002
31,61479999999.99999
32,9821000000.0
33,19236000000.0
34,69831000000.0
35,14745000000.0
36,54077000000.00001
37,31149000000.0
38,118423000000.00002
39,83179000000.0
40,3316999999.9999995
41,12714000000.0
42,35614000000.0
43,2134000000.0
44,11287000000.0
45,46077999999.99999
46,4997000000.0
47,31089000000.0
48,89415999999.99998
49,5877000000.000001
50,12349000000.0
51,31259000000.0
52,34245000000.0
53,44024000000.0
54,17618000000.0
55,11309000000.0
56,49311999999.99999
57,90512000000.0
58,21897999999.999996
59,16505000000.0
60,26087999999.999996
61,7392000000.0
62,12162000000.0
63,7137000000.0
64,782000000.0000001
65,13617000000.000002
66,6389000000.000001
67,16751000000.0
68,5739000000.000001
69,16214999999.999998
70,16786000000.0
71,85452000000.0
72,66125000000.0
73,81595000000.00002
74,23045000000.0
75,18015000000.0
76,18598000000.0
77,15102000000.0
78,2247000000.0
79,12131000000.0
