;Theil;Cosine_Industries;Cosine_Products;Frobenius
2017 PROD;0.0013666816641984343;0.9999901965778795;0.9998562651274577;0.005589512830514518
2017 CI;0.002058398687723319;0.999846425053624;0.9715993391325484;0.0039009183972765634
2018 PROD;0.00279037476953197;0.9999743891421087;0.9998233609731992;0.008502453794316935
2018 CI;0.005375266174987347;0.9997127571515291;0.9703949449989038;0.00694468331763908
2019 PROD;0.003970097263413679;0.9999590442094138;0.9997230704635435;0.010505731194307855
2019 CI;0.007045860320124288;0.9994448051154424;0.9693858646571686;0.006236051966555283
