R_PRODUCTO;C_RAMA;VALOR;VALOR_C
10;73;0;0
10;74;0;0
10;75;0;0
10;76;0;0
10;77;0;0
10;78;0;0
10;79;0;0
11;1;425600000;470801821.26
11;2;0;0
11;3;0;0
11;4;0;0
11;5;23966900000;25135620939
11;6;0;0
11;7;1240300000;1356192421.2
11;8;0;0
11;9;0;0
11;10;0;0
11;11;0;0
11;12;19900000;20565734.009
11;13;0;0
11;14;0;0
11;15;0;0
11;16;0;0
11;17;0;0
11;18;0;0
11;19;0;0
11;20;0;0
11;21;0;0
11;22;0;0
11;23;0;0
11;24;0;0
11;25;0;0
11;26;0;0
11;27;0;0
11;28;0;0
11;29;0;0
11;30;0;0
11;31;0;0
11;32;0;0
11;33;0;0
11;34;290100000;372686261.89
11;35;16200000;15117268.081
11;36;5900000;7322395.3803
11;37;0;0
11;38;1351200000;1617736249.2
11;39;1154700000;1373423577.1
11;40;0;0
11;41;0;0
11;42;0;0
11;43;0;0
11;44;0;0
11;45;0;0
11;46;0;0
11;47;0;0
11;48;5500000;6127994.6024
11;49;0;0
11;50;0;0
11;51;0;0
11;52;0;0
11;53;0;0
11;54;0;0
11;55;0;0
11;56;15800000;19751590.457
11;57;0;0
11;58;0;0
11;59;0;0
11;60;0;0
11;61;0;0
11;62;0;0
11;63;0;0
11;64;0;0
11;65;0;0
11;66;0;0
11;67;0;0
11;68;0;0
11;69;0;0
11;70;0;0
11;71;0;0
11;72;0;0
11;73;0;0
11;74;0;0
11;75;0;0
11;76;0;0
11;77;0;0
11;78;0;0
11;79;0;0
12;1;152600000;168277100.84
12;2;0;0
12;3;0;0
12;4;0;0
12;5;57000000;59591810.853
12;6;7529600000;7833699081
12;7;471200000;513610417.39
12;8;0;0
12;9;0;0
12;10;0;0
12;11;0;0
12;12;0;0
12;13;0;0
12;14;0;0
12;15;0;0
12;16;0;0
12;17;0;0
12;18;0;0
12;19;0;0
12;20;0;0
12;21;0;0
12;22;0;0
12;23;0;0
12;24;0;0
12;25;0;0
12;26;0;0
12;27;0;0
12;28;0;0
12;29;0;0
12;30;0;0
12;31;0;0
12;32;0;0
12;33;0;0
12;34;0;0
12;35;0;0
12;36;0;0
12;37;0;0
12;38;4400000;5251395.5228
12;39;0;0
12;40;0;0
12;41;0;0
12;42;0;0
12;43;0;0
12;44;0;0
12;45;0;0
12;46;0;0
12;47;0;0
12;48;122000000;135503180.16
12;49;0;0
12;50;0;0
12;51;0;0
12;52;0;0
12;53;0;0
12;54;0;0
12;55;0;0
12;56;3000000;3738524.3396
12;57;0;0
12;58;0;0
12;59;0;0
12;60;0;0
12;61;0;0
12;62;0;0
12;63;0;0
12;64;0;0
12;65;0;0
12;66;0;0
12;67;0;0
12;68;0;0
12;69;0;0
12;70;0;0
12;71;0;0
12;72;0;0
12;73;0;0
12;74;0;0
12;75;0;0
12;76;0;0
12;77;26800000;26774799.099
12;78;0;0
12;79;0;0
13;1;1941000000;2120613136.7
13;2;0;0
13;3;0;0
13;4;0;0
13;5;0;0
13;6;0;0
13;7;9341700000;10088344000
13;8;86600000;100027751.98
13;9;0;0
13;10;0;0
13;11;0;0
13;12;0;0
13;13;0;0
13;14;0;0
13;15;0;0
13;16;0;0
13;17;18700000;21919682.853
13;18;0;0
13;19;0;0
13;20;0;0
13;21;0;0
13;22;0;0
13;23;0;0
13;24;0;0
13;25;0;0
13;26;0;0
13;27;0;0
13;28;0;0
13;29;0;0
13;30;0;0
13;31;0;0
13;32;0;0
13;33;0;0
13;34;0;0
13;35;0;0
13;36;0;0
13;37;0;0
13;38;4900000;5794067.5966
13;39;0;0
13;40;0;0
13;41;0;0
13;42;0;0
13;43;0;0
13;44;0;0
13;45;3700000;3907336.2728
13;46;0;0
13;47;0;0
13;48;0;0
13;49;0;0
13;50;0;0
13;51;0;0
13;52;0;0
13;53;0;0
13;54;0;0
13;55;0;0
13;56;0;0
13;57;0;0
13;58;0;0
13;59;0;0
13;60;0;0
13;61;0;0
13;62;0;0
13;63;0;0
13;64;0;0
13;65;0;0
13;66;0;0
13;67;0;0
13;68;0;0
13;69;0;0
13;70;0;0
13;71;0;0
13;72;0;0
13;73;0;0
13;74;0;0
13;75;0;0
13;76;0;0
13;77;0;0
13;78;0;0
13;79;0;0
14;1;33800000;37691345.407
14;2;0;0
14;3;0;0
14;4;0;0
14;5;856600000;905616339
14;6;0;0
14;7;8891400000;9800610793.9
14;8;0;0
14;9;0;0
14;10;0;0
14;11;0;0
14;12;0;0
14;13;0;0
14;14;0;0
14;15;0;0
14;16;0;0
14;17;59300000;70947383.043
14;18;79300000;81240092.147
14;19;0;0
14;20;0;0
14;21;0;0
14;22;0;0
14;23;0;0
14;24;0;0
14;25;0;0
14;26;0;0
14;27;0;0
14;28;0;0
14;29;0;0
14;30;0;0
14;31;0;0
14;32;0;0
14;33;0;0
14;34;0;0
14;35;0;0
14;36;0;0
14;37;0;0
14;38;72000000;86897844.059
14;39;0;0
14;40;0;0
14;41;0;0
14;42;0;0
