;2017 PROD;2017 CI;2018 PROD;2018 CI;2019 PROD;2019 CI
count;79.0;79.0;79.0;79.0;79.0;79.0
mean;0.9999901965778795;0.999846425053624;0.9999743891421087;0.9997127571515291;0.9999590442094138;0.9994448051154424
std;2.452742917988745e-05;0.00020408683193006154;8.294873100605527e-05;0.00039087815137210245;0.00011031994919665884;0.0005853544778607563
min;0.9998502537448859;0.9988188847073308;0.9994764946480255;0.9973577015910915;0.9991980010123722;0.996744232190555
25%;0.9999944044691631;0.9998218784909467;0.9999851020170671;0.9996309546382347;0.9999700773290778;0.9992373853004564
50%;0.9999992082263939;0.9999110799889576;0.9999967285799627;0.9998489432557607;0.9999935338820909;0.9995879692359118
75%;0.9999997921679353;0.9999566983212946;0.9999993291566217;0.9999422773051702;0.9999988812972246;0.999875611306805
max;1.0;0.999996176581132;1.0;0.999996089757863;1.0;0.9999743228138278
