R_PRODUCTO;C_RAMA;VALOR;VALOR_C
4;40;0;0
4;41;0;0
4;42;0;0
4;43;0;0
4;44;0;0
4;45;0;0
4;46;0;0
4;47;13100000;13526809.23
4;48;0;0
4;49;0;0
4;50;0;0
4;51;0;0
4;52;0;0
4;53;0;0
4;54;0;0
4;55;0;0
4;56;0;0
4;57;0;0
4;58;0;0
4;59;0;0
4;60;0;0
4;61;0;0
4;62;0;0
4;63;0;0
4;64;0;0
4;65;0;0
4;66;0;0
4;67;0;0
4;68;0;0
4;69;900000;1024509.4719
4;70;0;0
4;71;36600000;32139733.714
4;72;0;0
4;73;0;0
4;74;0;0
4;75;200000;277518.59471
4;76;0;0
4;77;0;0
4;78;0;0
4;79;0;0
5;1;0;0
5;2;0;0
5;3;45400000;49077022.519
5;4;0;0
5;5;4300000;5144443.7295
5;6;2800000;3137546.2804
5;7;230900000;252551225.51
5;8;0;0
5;9;0;0
5;10;0;0
5;11;0;0
5;12;0;0
5;13;0;0
5;14;0;0
5;15;0;0
5;16;0;0
5;17;0;0
5;18;0;0
5;19;0;0
5;20;0;0
5;21;0;0
5;22;0;0
5;23;0;0
5;24;0;0
5;25;0;0
5;26;0;0
5;27;0;0
5;28;0;0
5;29;0;0
5;30;0;0
5;31;0;0
5;32;0;0
5;33;0;0
5;34;0;0
5;35;0;0
5;36;0;0
5;37;0;0
5;38;800000;857348.38583
5;39;200000;202929.59185
5;40;0;0
5;41;0;0
5;42;0;0
5;43;0;0
5;44;0;0
5;45;0;0
5;46;0;0
5;47;2900000;3429368.7122
5;48;1500000;1660645.4902
5;49;0;0
5;50;0;0
5;51;0;0
5;52;0;0
5;53;0;0
5;54;0;0
5;55;0;0
5;56;0;0
5;57;0;0
5;58;0;0
5;59;0;0
5;60;0;0
5;61;0;0
5;62;0;0
5;63;0;0
5;64;0;0
5;65;0;0
5;66;0;0
5;67;0;0
5;68;0;0
5;69;0;0
5;70;0;0
5;71;9600000;9654383.2654
5;72;28300000;26128509.15
5;73;8000000;8562551.2258
5;74;13200000;14050753.279
5;75;200000;317822.17949
5;76;0;0
5;77;0;0
5;78;0;0
5;79;0;0
6;1;0;0
6;2;0;0
6;3;0;0
6;4;3000000;3968503.0031
6;5;0;0
6;6;0;0
6;7;0;0
6;8;0;0
6;9;0;0
6;10;0;0
6;11;0;0
6;12;0;0
6;13;0;0
6;14;0;0
6;15;0;0
6;16;10900000;18329530.996
6;17;63500000;77531056.022
6;18;0;0
6;19;0;0
6;20;13400000;17900329.262
6;21;151900000;194114682.03
6;22;2700000;3638729.547
6;23;0;0
6;24;900000;1102852.4278
6;25;0;0
6;26;0;0
6;27;0;0
6;28;0;0
6;29;0;0
6;30;0;0
6;31;990300000;1136502844.2
6;32;0;0
6;33;0;0
6;34;0;0
6;35;0;0
6;36;0;0
6;37;0;0
6;38;14900000;17232758.12
6;39;0;0
6;40;0;0
6;41;0;0
6;42;0;0
6;43;0;0
6;44;0;0
6;45;0;0
6;46;0;0
6;47;0;0
6;48;0;0
6;49;0;0
6;50;0;0
6;51;0;0
6;52;0;0
6;53;900000;859606.74014
6;54;300000;307776.42015
6;55;300000;349049.64231
6;56;0;0
6;57;0;0
6;58;0;0
6;59;0;0
6;60;0;0
6;61;0;0
6;62;0;0
6;63;0;0
6;64;0;0
6;65;0;0
6;66;0;0
6;67;0;0
6;68;0;0
6;69;0;0
6;70;0;0
6;71;16400000;17799111.64
6;72;500000;498195.01252
6;73;0;0
6;74;0;0
6;75;0;0
6;76;0;0
6;77;0;0
6;78;0;0
6;79;0;0
7;1;0;0
7;2;0;0
7;3;0;0
7;4;100000;108593.74074
7;5;0;0
7;6;0;0
7;7;0;0
7;8;0;0
7;9;0;0
7;10;0;0
7;11;0;0
7;12;0;0
7;13;0;0
7;14;0;0
7;15;0;0
7;16;16911600000;23345806828
7;17;121900000;122181376.81
7;18;0;0
7;19;0;0
7;20;2100000;2302898.7864
7;21;0;0
7;22;2800000;3097728.7004
7;23;0;0
7;24;0;0
7;25;0;0
7;26;0;0
7;27;0;0
7;28;0;0
7;29;0;0
7;30;200000;208982.96427
7;31;0;0
7;32;0;0
7;33;0;0
7;34;0;0
7;35;0;0
7;36;0;0
7;37;0;0
7;38;98600000;93614856.047
7;39;0;0
7;40;0;0
7;41;0;0
7;42;0;0
7;43;0;0
7;44;0;0
7;45;0;0
7;46;0;0
7;47;0;0
7;48;0;0
7;49;0;0
7;50;0;0
7;51;0;0
7;52;0;0
7;53;0;0
7;54;0;0
7;55;0;0
7;56;0;0
7;57;0;0
7;58;0;0
7;59;0;0
7;60;0;0
7;61;0;0
7;62;0;0
7;63;0;0
7;64;0;0
7;65;0;0
7;66;0;0
7;67;0;0
7;68;0;0
7;69;0;0
