R_PRODUCTO;C_RAMA;VALOR;VALOR_C
1;1;1021400000;1152438408.1
1;2;0;0
1;3;0;0
1;4;0;0
1;5;373800000;418698531.84
1;6;296200000;319022165.5
1;7;13912900000;15133220901
1;8;1512000000;1725101625.3
1;9;92900000;96763670.192
1;10;118700000;129553659.77
1;11;97300000;90116318.179
1;12;19500000;19521529.503
1;13;5000000;6196450.0117
1;14;24800000;27137930.386
1;15;0;0
1;16;0;0
1;17;527600000;622576377.57
1;18;75500000;78709751.722
1;19;223700000;256990666.52
1;20;0;0
1;21;0;0
1;22;0;0
1;23;0;0
1;24;0;0
1;25;0;0
1;26;0;0
1;27;0;0
1;28;9200000;10242717.983
1;29;0;0
1;30;0;0
1;31;0;0
1;32;0;0
1;33;10300000;11744746.3
1;34;500000;652271.58634
1;35;100000;120963.2193
1;36;100000;125653.90816
1;37;0;0
1;38;412600000;430613448.03
1;39;24700000;25433212.687
1;40;0;0
1;41;0;0
1;42;0;0
1;43;0;0
1;44;0;0
1;45;1000000;1033377.7209
1;46;0;0
1;47;34500000;38458850.422
1;48;751300000;822653368.24
1;49;0;0
1;50;0;0
1;51;0;0
1;52;0;0
1;53;1100000;1084752.772
1;54;100000;93224.818147
1;55;300000;319955.28164
1;56;0;0
1;57;0;0
1;58;0;0
1;59;9800000;11303267.611
1;60;0;0
1;61;5500000;6466159.6936
1;62;0;0
1;63;0;0
1;64;0;0
1;65;0;0
1;66;0;0
1;67;0;0
1;68;0;0
1;69;79100000;96297853.4
1;70;0;0
1;71;126600000;126423442.8
1;72;131900000;133314508.75
1;73;66600000;69214536.671
1;74;20300000;20720000.014
1;75;200000;283248.52897
1;76;200000;224846.85252
1;77;700000;666422.79229
1;78;0;0
1;79;0;0
2;1;109900000;123202925.11
2;2;0;0
2;3;0;0
2;4;0;0
2;5;10580200000;11774906700
2;6;3079400000;3295363797
2;7;3221200000;3481231099.7
2;8;58900000;66769733.719
2;9;0;0
2;10;18600000;20170346.899
2;11;100100000;92114104.254
2;12;368800000;366835703.96
2;13;0;0
2;14;0;0
2;15;0;0
2;16;0;0
2;17;53500000;62725349.473
2;18;135500000;140353207.6
2;19;0;0
2;20;0;0
2;21;0;0
2;22;0;0
2;23;0;0
2;24;0;0
2;25;0;0
2;26;0;0
2;27;0;0
2;28;0;0
2;29;0;0
2;30;0;0
2;31;0;0
2;32;0;0
2;33;0;0
2;34;0;0
2;35;0;0
2;36;0;0
2;37;0;0
2;38;55400000;57447295.269
2;39;45900000;46958953.69
2;40;0;0
2;41;0;0
2;42;0;0
2;43;0;0
2;44;0;0
2;45;0;0
2;46;0;0
2;47;7300000;8085400.1814
2;48;11300000;12293722.085
2;49;0;0
2;50;0;0
2;51;0;0
2;52;0;0
2;53;0;0
2;54;0;0
2;55;0;0
2;56;0;0
2;57;0;0
2;58;0;0
2;59;0;0
2;60;0;0
2;61;14300000;16704028.81
2;62;0;0
2;63;0;0
2;64;9600000;11446176.608
2;65;0;0
2;66;0;0
2;67;0;0
2;68;0;0
2;69;0;0
2;70;0;0
2;71;21000000;20836014.853
2;72;26500000;26612149.307
2;73;15500000;16005020.742
2;74;7700000;7808828.6815
2;75;1300000;1829289.6451
2;76;28900000;32281679.092
2;77;0;0
2;78;0;0
2;79;0;0
3;1;500400000;563854058.93
3;2;0;0
3;3;0;0
3;4;0;0
3;5;27200000;30426961.483
3;6;1500000;1613446.6262
3;7;25400000;27591477.948
3;8;13300000;15154516.114
3;9;2900000;3016630.767
3;10;14600000;15914000.319
3;11;0;0
3;12;20800000;20795535.332
3;13;0;0
3;14;0;0
3;15;0;0
3;16;0;0
3;17;0;0
3;18;0;0
3;19;21900000;25125980.662
3;20;0;0
3;21;0;0
3;22;0;0
3;23;0;0
3;24;0;0
3;25;0;0
3;26;0;0
3;27;0;0
3;28;0;0
3;29;0;0
3;30;0;0
3;31;0;0
3;32;0;0
3;33;0;0
3;34;5100000;6644406.1579
3;35;2500000;3020096.9515
3;36;5100000;6399907.7888
3;37;0;0
3;38;0;0
3;39;0;0
3;40;0;0
3;41;0;0
3;42;0;0
3;43;0;0
3;44;0;0
3;45;0;0
3;46;0;0
3;47;0;0
3;48;0;0
3;49;0;0
3;50;0;0
3;51;0;0
3;52;0;0
3;53;0;0
3;54;0;0
3;55;0;0
3;56;0;0
3;57;0;0
3;58;0;0
3;59;0;0
3;60;0;0
3;61;0;0
3;62;0;0
3;63;0;0
3;64;0;0
3;65;0;0
3;66;0;0
3;67;0;0
3;68;0;0
3;69;0;0
3;70;0;0
3;71;200000;199457.99206
3;72;0;0
3;73;0;0
3;74;0;0
3;75;0;0
3;76;0;0
3;77;0;0
3;78;0;0
3;79;0;0
4;1;6700000;7132746.0095
4;2;874300000;775946192.55
4;3;0;0
4;4;800000;884903.69422
4;5;0;0
4;6;800000;812991.2621
4;7;2800000;2873636.463
4;8;24200000;26051836.6
4;9;0;0
4;10;1200000;1235777.5448
4;11;0;0
4;12;0;0
4;13;78800000;92142342.731
4;14;235000000;242634745.29
4;15;0;0
4;16;0;0
4;17;3000000;3340174.7793
4;18;7600000;7475758.6075
4;19;37100000;40214749.026
4;20;0;0
4;21;0;0
4;22;2300000;2708960.518
4;23;0;0
4;24;0;0
4;25;0;0
4;26;0;0
4;27;0;0
4;28;15200000;15967284.456
4;29;6300000;6318592.8717
4;30;0;0
4;31;38800000;40236822.463
4;32;0;0
4;33;3600000;3873191.7885
4;34;0;0
4;35;0;0
4;36;0;0
4;37;0;0
4;38;4300000;4234351.504
4;39;700000;680083.74746
4;40;0;0
4;41;0;0
4;42;0;0
4;43;0;0
4;44;0;0
4;45;0;0
4;46;0;0
4;47;13100000;13778710.821
4;48;0;0
4;49;0;0
4;50;0;0
4;51;0;0
4;52;0;0
4;53;0;0
4;54;0;0
4;55;0;0
4;56;0;0
4;57;0;0
4;58;0;0
4;59;0;0
4;60;0;0
4;61;0;0
4;62;0;0
4;63;0;0
4;64;0;0
4;65;0;0
4;66;0;0
4;67;0;0
4;68;0;0
4;69;900000;1033814.7367
4;70;0;0
4;71;36600000;34485385.02
4;72;0;0
4;73;0;0
4;74;0;0
4;75;200000;267256.17564
4;76;0;0
4;77;0;0
4;78;0;0
4;79;0;0
5;1;0;0
5;2;0;0
5;3;45400000;51393228.314
5;4;0;0
5;5;4300000;4775345.6104
5;6;2800000;2989978.3791
5;7;230900000;249007170.24
5;8;0;0
5;9;0;0
5;10;0;0
5;11;0;0
5;12;0;0
5;13;0;0
5;14;0;0
5;15;0;0
5;16;0;0
5;17;0;0
5;18;0;0
5;19;0;0
5;20;0;0
5;21;0;0
5;22;0;0
5;23;0;0
5;24;0;0
5;25;0;0
5;26;0;0
5;27;0;0
5;28;0;0
5;29;0;0
5;30;0;0
5;31;0;0
5;32;0;0
5;33;0;0
5;34;0;0
5;35;0;0
5;36;0;0
5;37;0;0
5;38;800000;827794.55252
5;39;200000;204177.78004
5;40;0;0
5;41;0;0
5;42;0;0
