C_RAMA,VALOR
1,25119000000.0
2,1006999999.9999999
3,1360000000.0
4,2806999999.9999995
5,23577000000.000004
6,7958000000.0
7,53883000000.00001
8,13610999999.999998
9,424999999.99999994
10,4191000000.000002
11,3305000000.000001
12,3185000000.0000005
13,5531000000.000001
14,10006999999.999998
15,3649000000.0000005
16,35044999999.99999
17,31233999999.999996
18,9563000000.0
19,14550000000.0
20,14270000000.0
21,24490000000.0
22,26079999999.999992
23,3414000000.0
24,13353000000.0
25,14823000000.0
26,56447000000.0
27,12581999999.999998
28,4040000000.0
29,2783000000.0
30,7393000000.000001
31,37625000000.00001
32,5816000000.000001
33,13333999999.999998
34,43908000000.00001
35,12757000000.0
36,39780000000.0
37,15625000000.0
38,61173000000.0
39,29652000000.0
40,2735999999.9999995
41,4596000000.0
42,23991000000.0
43,1876999999.9999998
44,9817000000.0
45,29884999999.999996
46,2998999999.9999995
47,13834000000.0
48,44401000000.0
49,3318000000.0
50,8051000000.0
51,17473000000.0
52,21295000000.000004
53,14880999999.999996
54,11216999999.999998
55,6602000000.0
56,14398999999.999998
57,7752000000.0
58,9746000000.0
59,11163000000.0
60,15900000000.000002
61,2451000000.0
62,7797000000.0
63,3343999999.9999995
64,469000000.0000001
65,7286000000.000001
66,894000000.0
67,11799000000.000002
68,1535000000.0000002
69,4621000000.0
70,9736000000.0
71,23263000000.000004
72,9067000000.0
73,28559999999.999996
74,7924000000.000001
75,10383999999.999998
76,7581000000.0
77,5888000000.0
78,1153000000.0
79,3190999999.999999
