R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;T1;13021500000;13656888533
1;T2;855000000;866215919.06
2;T1;2785500000;2962692081.1
2;T2;57200000;58769051.204
3;T1;0;0
3;T2;0;0
4;T1;187000000;201191198.9
4;T2;26600000;27645108.918
5;T1;1343700000;1392598943.9
5;T2;65900000;65974856.694
6;T1;78100000;79841090.558
6;T2;35600000;35155616.732
7;T1;0;0
7;T2;15300000;16794568.533
8;T1;0;0
8;T2;5000000;4893025.518
9;T1;287600000;302248165.9
9;T2;24500000;24871969.327
10;T1;366900000;370684148.82
10;T2;277300000;270629708.4
11;T1;5946900000;6042956282.9
11;T2;115300000;113176802.67
12;T1;1755400000;1834586284.8
12;T2;164100000;165668494.67
13;T1;1985700000;2054950544.5
13;T2;134400000;134355764.33
14;T1;3537400000;3582090816.4
14;T2;122300000;119632223.45
15;T1;17110000000;17586759517
15;T2;628400000;623937787.39
16;T1;3094500000;3206505241.9
16;T2;124900000;125018188.63
17;T1;1316300000;1365539540.5
17;T2;169000000;169357876.65
18;T1;1983900000;2040787044.6
18;T2;5000000;4968407.5396
19;T1;3437600000;3467425067
19;T2;21500000;20948816.875
20;T1;9011900000;9320011402.3
20;T2;73600000;73527058.267
21;T1;1029500000;1057889187.6
21;T2;11100000;11018084.603
22;T1;1377500000;1407905344.8
22;T2;195600000;193116773.67
23;T1;597200000;608828955.58
23;T2;121600000;119750785.71
24;T1;2677600000;2749005058.4
24;T2;67200000;66645128.445
25;T1;62500000;65712270.111
25;T2;200000;203126.10723
26;T1;7469400000;7388415591.3
26;T2;146100000;139599901.34
27;T1;9824100000;10051298996
27;T2;189700000;187484791.93
28;T1;7896000000;8082940976.8
28;T2;111300000;110059295.57
29;T1;272500000;276285374.79
29;T2;2600000;2546443.4384
30;T1;14636500000;15028693317
30;T2;66600000;66058317.925
31;T1;2041500000;2093772386.2
31;T2;113800000;112743533.58
32;T1;5056900000;5194325667.4
32;T2;98300000;97536602.546
33;T1;1856700000;1910237280.8
33;T2;28600000;28423719.522
34;T1;1671100000;1740704702.2
34;T2;144300000;145197216.56
35;T1;1508400000;1588322594.1
35;T2;183300000;186446378.32
36;T1;889100000;926474361.23
36;T2;66700000;67139472.642
37;T1;7074000000;7141051211.3
37;T2;347200000;338568153.73
38;T1;12929600000;13219244822
38;T2;153000000;151106199.92
39;T1;660400000;677981241.48
39;T2;85600000;84889441.169
40;T1;2315200000;2384295112.1
40;T2;23600000;23477551.09
41;T1;6847400000;7006868757
41;T2;367300000;363068448.59
42;T1;7929900000;8196376117.9
42;T2;172800000;172531025.35
43;T1;1900600000;1950080785.1
43;T2;99300000;98419334.32
44;T1;7434500000;7622612363.5
44;T2;58400000;57840789.586
45;T1;8292800000;8602914095.5
45;T2;77500000;77663220.182
46;T1;1238100000;1261438984.3
46;T2;236000000;232269307.22
47;T1;85000000;88783585.829
47;T2;900000;908083.03438
48;T1;467400000;486961503.05
48;T2;1200000;1207692.7631
49;T1;1969400000;2040284751.4
49;T2;10900000;10908188.765
50;T1;809700000;829537671.04
50;T2;5200000;5146175.7507
51;T1;3783700000;3892619986.5
51;T2;39100000;38857187.881
52;T1;7754100000;7925653028.5
52;T2;128200000;126578801.72
53;T1;0;0
53;T2;0;0
54;T1;0;0
54;T2;1200000;1211639.9567
55;T1;12200000;12879231.07
55;T2;200000;203952.67072
56;T1;0;0
56;T2;0;0
57;T1;412000000;429732752.44
57;T2;153000000;154156544.38
58;T1;0;0
58;T2;0;0
59;T1;0;0
59;T2;0;0
60;T1;0;0
60;T2;0;0
61;T1;0;0
61;T2;0;0
62;T1;-10858300000;-10990572078
62;T2;0;0
63;T1;0;0
63;T2;0;0
64;T1;-1.049622E11;-1.081972E11
64;T2;0;0
65;T1;-85007400000;-87107371352
65;T2;0;0
66;T1;0;0
66;T2;-87800000;-87479929.58
67;T1;0;0
67;T2;-5891500000;-5850457053
68;T1;0;0
68;T2;-316100000;-318776146.2
69;T1;0;0
69;T2;-150200000;-154950446.2
70;T1;0;0
70;T2;0;0
71;T1;0;0
71;T2;0;0
72;T1;0;0
72;T2;0;0
73;T1;0;0
73;T2;0;0
74;T1;0;0
74;T2;0;0
75;T1;1857500000;1930263132.3
75;T2;16200000;16261926.902
76;T1;539200000;553592650.46
76;T2;100000;99176.717209
77;T1;214600000;221221613.05
77;T2;0;0
78;T1;0;0
78;T2;0;0
79;T1;0;0
79;T2;0;0
80;T1;0;0
80;T2;0;0
81;T1;0;0
81;T2;0;0
82;T1;0;0
82;T2;0;0
83;T1;0;0
83;T2;0;0
84;T1;0;0
84;T2;0;0
85;T1;0;0
85;T2;0;0
86;T1;0;0
86;T2;200000;204398.83671
87;T1;0;0
87;T2;0;0
88;T1;0;0
88;T2;0;0
89;T1;117200000;116144116.91
89;T2;200000;191455.96282
90;T1;0;0
90;T2;0;0
91;T1;0;0
91;T2;0;0
92;T1;0;0
92;T2;0;0
93;T1;0;0
93;T2;0;0
94;T1;0;0
94;T2;0;0
95;T1;0;0
95;T2;0;0
96;T1;0;0
96;T2;0;0
97;T1;0;0
97;T2;0;0
98;T1;0;0
98;T2;0;0
99;T1;0;0
99;T2;0;0
100;T1;0;0
100;T2;0;0
101;T1;0;0
101;T2;0;0
102;T1;67000000;66064773.025
102;T2;0;0
103;T1;0;0
103;T2;200000;191048.67979
104;T1;0;0
104;T2;0;0
105;T1;0;0
105;T2;0;0
106;T1;0;0
106;T2;0;0
107;T1;0;0
107;T2;0;0
108;T1;0;0
108;T2;200000;193013.17736
