R_PRODUCTO;2017 PROD;2017 CI;2018 PROD;2018 CI;2019 PROD;2019 CI
1;0.9999999956402008;0.9999777479905119;0.9999999753762575;0.9999750556193859;0.9999996060494304;0.9999919340476401
2;0.9999999461954747;0.9999840670384357;0.9999999616742707;0.9999190623098718;0.9999993894762452;0.9995990659697385
3;0.999675576031068;0.9999768406406246;0.9997333109036936;0.9999845473464559;0.996196408222401;0.9999585381089873
4;0.9999942266102343;0.9996414348972495;0.9999902766328468;0.9987793664975544;0.9998635669340287;0.9997161028617068
5;1.0;0.9998829300928852;1.0;0.9999070291749851;1.0;0.9998197439304352
6;1.0;0.9997395894530192;1.0;0.9996266949771532;1.0;0.9998339651584753
7;1.0;0.999998143484798;1.0;0.9999938518027148;1.0;0.999996393296081
8;0.9999750314422718;0.9999999042573324;0.9998729095044256;0.9999995074064496;0.9997995853854572;0.9999997529390257
9;1.0;0.9997638306564016;1.0;0.9997463884109077;1.0;0.9999566268165383
10;0.9999783821127423;0.9998097707578452;0.9999582386911171;0.9996580853247418;0.9999648180084734;0.9985942180046808
11;0.9999956846907022;0.9998688379408099;0.9999416836212456;0.9998734127881853;0.9999290095511231;0.9991058938693624
12;0.9999892482808017;0.9999635666638346;0.9999942476178368;0.9999608757822461;0.9999939099541746;0.9998639815255612
13;0.9999304445493118;0.9999918877001021;0.9999970866882426;0.9999910375481841;0.9998226450259977;0.9999913788201948
14;0.9999955402431013;0.9999743954050533;0.9999917379714603;0.9999932977370959;0.9999985337265257;0.9999987395253765
15;0.9999994654494222;0.9999455623430578;0.9999993044039379;0.999960930077984;0.9999997179734191;0.9999757321181542
16;0.9999969493181625;0.9999863061868647;0.999991635160341;0.9999244828191145;0.9999643016729429;0.999992877190914
17;0.9999912862440961;0.9999903040783191;0.9999390141799814;0.999985072507815;0.9999879519688113;0.9999935356652464
18;1.0;0.999996753874212;1.0;0.9999979953545359;1.0;0.9999557715199551
19;0.9999938261108898;0.9989702296795834;0.9999877662246525;0.996813326907921;0.999984377758395;0.9960671190179302
20;0.9998923532657298;0.9995028602666057;0.999616955277971;0.9980129685803764;0.9994026114007543;0.9955504875870339
21;0.9999909088542848;0.9999948176035663;0.9999845736450601;0.9999890993722754;0.9999974252555296;0.999968769013559
22;0.9999986471314449;0.9997427454187832;0.9999858585714168;0.9994704259074472;0.9999995885040317;0.9983093609761398
23;0.9999997030618648;0.9998242526258306;0.99999957934977;0.9996484838645139;0.9999993526975247;0.9996863933143597
24;0.9999320595281598;0.999720502386677;0.999940697081596;0.9993902765831214;0.9998802781587054;0.9989608924209585
25;0.9999768308733201;0.9990906268797834;0.9999676848539353;0.9964678307282685;0.9999414489312444;0.9969681943971942
26;0.9999941998340993;0.9980130670053047;0.9999754457444686;0.991295169031459;0.999988069823927;0.9953022188982378
27;0.9997973247245812;0.9996490334987461;0.9988200838754159;0.9996185225542105;0.9995434457836618;0.9997975010079857
28;0.9999992011471854;0.9994510063238853;0.9999979025419686;0.9975829285130876;0.9999981029940335;0.9950850915669389
29;0.9998374438758052;0.9998215770922516;0.9998885239197774;0.9993895438009451;0.9998438980830046;0.9994706876679044
30;0.9999986255971455;0.9999528658938572;0.9999949692010373;0.9999851860858865;0.9999966683839131;0.9999600058568999
31;0.9999997063443161;0.9997700112761396;0.9999983152704772;0.9994462829200536;0.9999951678049652;0.9997714901943247
32;0.999997215012511;0.9994466781628415;0.999989851233135;0.9977443936825167;0.9999917430861853;0.9967979427038638
33;0.9999999887069955;0.9996882893061572;0.9999999632408075;0.9984328594994586;0.9999999766935611;0.9980291551202701
34;0.9999999965091152;0.9993382864284694;0.9999999991293531;0.9997590209439229;0.9999999700075085;0.9973642748352652
35;0.9999984797849134;0.9991571539542463;0.9999982604717473;0.9997175552675789;0.9999990620108881;0.9967092581492925
