;2017 PROD;2017 CI;2018 PROD;2018 CI;2019 PROD;2019 CI
count;108.0;108.0;108.0;108.0;108.0;108.0
mean;0.9998562651274577;0.9715993391325484;0.9998233609731992;0.9703949449989038;0.9997230704635435;0.9693858646571686
std;0.000608791640099988;0.16499817416076695;0.0004908802805664318;0.16481386901016049;0.0008753323743307769;0.16466347340493728
min;0.995168453021292;0.0;0.9970603573971206;0.0;0.9939866438166703;0.0
25%;0.9999605677149421;0.9990073464350779;0.999941102113155;0.9968611067299721;0.9999222680304815;0.9952074655745209
50%;0.9999947346462577;0.9996025534760042;0.999990577020474;0.9992476997448205;0.9999862365535928;0.9986286066627361
75%;0.9999995509320726;0.9999532374568088;0.9999991299620377;0.9999116740163141;0.9999988304795274;0.9998414692502469
max;1.0;1.0;1.0;1.0;1.0;1.0
