C_RAMA;2017 PROD;2017 CI;2018 PROD;2018 CI;2019 PROD;2019 CI
26;0.9999835262557953;0.999991142899545;0.9999641385554168;0.9999900891706016;0.9999605872395614;0.9999552104394653
27;0.9999957838378685;0.9998860448693734;0.9999926218055233;0.999804275118878;0.9999931520468579;0.9997515329285637
28;0.9999996104757268;0.9999648921328176;0.9999979385688609;0.9998406393721467;0.9999976619293713;0.9998244851289496
29;0.9999958530054635;0.9998974698177828;0.9999899669880127;0.999804260564878;0.9999705980649899;0.9993109647018943
30;0.9999990682504635;0.9999321343987604;0.999999546187067;0.9998725120747957;0.9999992422254651;0.9995879692359118
31;0.9999911049510284;0.9998195213950346;0.9999642321339333;0.9995692746325564;0.999965717761451;0.9995463283420045
32;0.9999875789015175;0.9999021631270316;0.9999612447461065;0.9996295884110217;0.9999392342708459;0.9998341152013199
33;0.9999997296291757;0.9999759842537975;0.9999997091936477;0.9999049993637898;0.9999994237763719;0.9999405021652494
34;0.9998946751434392;0.9992874209741295;0.9999446536912983;0.9995945604657535;0.9998862955434005;0.9989240863574205
35;0.999947312178038;0.9997823239556324;0.9999494028781314;0.9997636802921763;0.9999502035906285;0.9998854972890733
36;0.9999995463937873;0.9997996780229;0.9999975904533032;0.9996323208654476;0.999994931430075;0.9977191135022692
37;0.9998502537448859;0.9999098324676451;0.9994976260514683;0.9998008077429472;0.9991980010123722;0.9995736688699516
38;0.9999992347726485;0.9995927230318128;0.9999968811091056;0.999046249331836;0.9999935338820909;0.9979952327013883
39;0.9999996538295054;0.9997917734997854;0.9999975901286636;0.9996657958676329;0.9999965072994397;0.9991171413336862
40;0.9999998803862153;0.999912301722672;0.9999973606006751;0.9999216327312445;0.9999813641855959;0.9994580444309605
41;0.9999999949795619;0.9997191572998363;0.9999999843323468;0.9991694810547533;0.9999999652833865;0.9992071557891169
42;0.9999999734850165;0.9996584193727297;0.9999999171317244;0.9987309240563799;0.9999998302342513;0.9995657959341865
43;0.999999134533852;0.9997979023998819;0.9999918011650022;0.9994107758885491;0.9999379259357619;0.9992431728528416
44;0.9999863350222948;0.9996592778276298;0.999942397143095;0.99883028853929;0.9997962895196632;0.9993853058802469
45;0.9999997252182731;0.9999823702159069;0.9999993578790639;0.9999533036899901;0.9999964667092363;0.9998985217636521
46;0.9999999935383684;0.9999945825844774;0.9999994768055009;0.9999870439034341;0.9999999560954601;0.9999743228138278
47;0.99999981286044;0.9997021404502516;0.9999479539315931;0.9995279246679201;0.9999610755453853;0.99864099416352
48;0.9999998697941861;0.9999529657052865;0.9999982749351604;0.9998775116670735;0.9999989001846497;0.999692344733594
49;0.9999969773190747;0.9998810747654557;0.999994698184831;0.9998489432557607;0.9999879634405892;0.9997353508690312
50;0.9999734862180808;0.9999201232299968;0.999908007623153;0.9998401399048528;0.9998497588998984;0.9994607249682258
51;0.9999978336155834;0.9999342658567848;0.9999880396714135;0.9997193345894435;0.9999781843825089;0.9992337650588411
52;0.9999994063692655;0.99993713219866;0.9999957403623134;0.9998633984936133;0.999987641369453;0.9996021807109148
